slang,formal,in_dictionary,context,categories
gitu,begitu,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['abreviasi']
aja,saja,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['zeroisasi']
gemesiin,menggemaskan,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,"['afiksasi', 'elongasi']"
menyenangkn,menyenangkan,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['abreviasi']
rb,ribu,True,??jilbab segi empat rawis 100rb dapat 5jilbab ? dan segi empat lace 100rb dapat 4jilbab ?,['abreviasi']
akau,aku,True,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,['anaptiksis']
saranin,menyarankan,True,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,['afiksasi']
nemuin,menemukan,True,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,['afiksasi']
yah,ya,True,Awalnya Emang Pusing Ya Sis untuk memilih Mana Distributor yang terbaik aman dan dapat dipercaya waktu temen akau saranin ke@DR.AKBAR.FASHIONHERBALL Eh malah nemuin hasil yang terbaik dari@DR.AKBAR.FASHIONHERBALL ya udah aku tanpa lama lama lagi waktu habis suplementnya aku tambah lagi hihi... langsung aja admin Pin Bbm: D0545049 line:@HRX9934Z pake @ yah..,['anaptiksis']
met,selamat,True,Met ultah kak tulus....,['abreviasi']
mnis2nya,manis-manisnya,False,Ada mnis2nya gtu ?,"['reduplikasi', 'abreviasi']"
gtu,begitu,True,gtu,['abreviasi']
tu,itu,True,Diet pak . dah montok tu . hihi . love 4 voice tulus,['zeroisasi']
idolaa,idola,True,Happy birthday ka @tulusm idolaa bangett???,['elongasi']
bangett,banget,True,Happy birthday ka @tulusm idolaa bangett???,['elongasi']
kaakk,kak,True,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",['elongasi']
baaiikkk,baik,True,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",['elongasi']
telaatt,telat,True,"Selamat ulang tahun kaakk, semoga kedepannya makin baaiikkk?? @tulusm maaf telaatt?",['elongasi']
kaak,kak,True,"selamat ulang tahun kaak, sukses selalu.. @tulusm",['elongasi']
yg,yang,True,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,['abreviasi']
lg,lagi,True,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,['abreviasi']
skarang,sekarang,True,Hey kalian mau tau produk herbal peninggi badan yg lg top sekarang ? cari tau skarang juga follow ig@montirherbal dan INVITE PIN : D098054A,['zeroisasi']
yg,yang,True,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",['abreviasi']
sempet,sempat,True,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",['modifikasi vokal']
karna,karena,True,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",['zeroisasi']
ngga,enggak,True,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",['zeroisasi']
karna,karena,True,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",['zeroisasi']
mantep,mantap,True,"Bagus banget produk yg aku beli di@DR.HAFIDZ_HEALTYCARE , saya jadi malu, soalnya dulu saya sempet DC bbm nya karna ngga percaya. Terus saya invite lagi karna penasaran, tp setelah saya coba hasilnya mantep, badanku turun 9kg dan kulit ku jadi putih alami :)",['modifikasi vokal']
loohhh,loh,True,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,['elongasi']
yeee,ya,True,@zain.harun menurut loohhh haahhahaa ganteng yeee ????,"['elongasi', 'modifikasi vokal']"
baguuuuus,bagus,True,Baguuuuus banget....,['elongasi']
sampe,sampai,True,"Keren bor, sampe ngikutin gayany hahaha",['monoftongisasi']
ngikutin,mengikuti,True,"Keren bor, sampe ngikutin gayany hahaha",['afiksasi']
gayany,gayanya,False,"Keren bor, sampe ngikutin gayany hahaha",['abreviasi']
ngikutin,mengikuti,True,Sering ngikutin gaya nya lg nyanyi,['afiksasi']
lg,lagi,True,Sering ngikutin gaya nya lg nyanyi,['abreviasi']
bnk,bang,True,TOP bnk ariel... gaya g,"['abreviasi', 'subtitusi', 'homofon']"
awaas,awas,True,Minta rokok ny dong awaas to kena jari...,['elongasi']
siip,sip,True,Siip bang ariel,['elongasi']
abizzzz,habis,True,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,"['elongasi', 'subtitusi', 'zeroisasi']"
kerrrrennnn,keren,True,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you,['elongasi']
sayaa,saya,True,kayak pacar sayaa wendel's ?,['elongasi']
pengen,pengin,True,Pengen duet Tapi kapan?,['modifikasi vokal']
kpan,kapan,True,Noah kpan kemedan?,['abreviasi']
bgt,banget,True,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",['abreviasi']
sma,sama,True,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",['abreviasi']
sdkit,sedikit,True,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya",['abreviasi']
bngt,banget,True,Ku suka bngt lgu nya,['abreviasi']
lgu,lagu,True,Ku suka bngt lgu nya,['abreviasi']
bener2,benar-benar,True,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,"['reduplikasi', 'modifikasi vokal']"
kharismanya,karismanya,True,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...,['anaptiksis']
aq,aku,True,Lagu kesukaan aq banget @ariel_nazril_irham,"['abreviasi', 'homofon']"
yg,yang,True,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,['abreviasi']
jdi,jadi,True,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,['abreviasi']
lgi,lagi,True,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi,['abreviasi']
gk,enggak,True,Keren gk no @mutiaranovashadiqah,['abreviasi']
kek,kayak,True,Kek gua hahahaha @mutiaranovashadiqah,"['abreviasi', 'modifikasi vokal']"
lgunya,lagunya,False,Ini judul lgunya apa ya??,['abreviasi']
kpan,kapan,True,Kak Kpan Konser Di Surabaya,['abreviasi']
kereeeeennnn,keren,True,Kereeeeennnn boriel,['elongasi']
nyamain,menyamakan,True,@ariel_nazril_irham tidak ada yg bisa nyamain . Mentok,['afiksasi']
slalu,selalu,True,Rokok slalu membuat ariel semakin lakik,['zeroisasi']
lakik,laki,True,Rokok slalu membuat ariel semakin lakik,['anaptiksis']
siippp,sip,True,Siippp siippp,['elongasi']
bkn,bukan,True,Iya bener itu di korea bkn,['abreviasi']
nyangka,menyangka,True,Aku ga nyangka itu korea,['afiksasi']
bangettt,banget,True,Indah bangettt ???,['elongasi']
kereeen,keren,True,Kereeen banget ?,['elongasi']
wihhhhhh,wih,True,Wihhhhhh...,['elongasi']
tp,tapi,True,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",['abreviasi']
inget,ingat,True,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD",['modifikasi vokal']
bingitsss,banget,True,Snsd bingitsss,"['modifikasi vokal', 'elongasi']"
dmn,dimana,False,Dmn itu air nya bird bgt,['abreviasi']
bird,biru,True,Dmn itu air nya bird bgt,['salah ketik']
kaloo,kalo,True,Kaloo Kelewat Gimna Tuuh,['elongasi']
gimna,bagaimana,True,Kaloo Kelewat Gimna Tuuh,['abreviasi']
tuuh,tuh,False,Kaloo Kelewat Gimna Tuuh,['elongasi']
nyebur,mencebur,True,Kalo kelewat ya nyebur,['afiksasi']
yng,yang,True,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,['abreviasi']
dbuat,dibuat,False,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,['abreviasi']
kn,kan,True,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak,['abreviasi']
org,orang,True,"Mana mungkin shot di bali, rame org",['abreviasi']
pingin,pengin,True,@afahalwa pingin aku,['modifikasi vokal']
bgt,banget,True,Mau bgt kagitu @jusinidelashlifah,['abreviasi']
tu,itu,True,Dimana tu ka,['zeroisasi']
bangcat,bangsat,True,Ko bangcat yha :') @bilavkcb,['subtitusi']
yha,ya,True,Ko bangcat yha :') @bilavkcb,['anaptiksis']
waoohhh,wah,True,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe","['elongasi', 'anaptiksis']"
pngn,pengin,True,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",['abreviasi']
tmpt,tempat,True,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",['abreviasi']
dhe,deh,True,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe",['homofon']
indahhh,indah,True,Indahhh bgttt di mana tuhh,['elongasi']
bgttt,banget,True,Indahhh bgttt di mana tuhh,"['abreviasi', 'elongasi']"
tuhh,tuh,False,Indahhh bgttt di mana tuhh,['elongasi']
berarto,berarti,True,Lh-lho berarto snsd ke indo? @bethaniamaureen,['salah ketik']
ga,enggak,True,"ga cell itu sg ndk bali, sg py e snsd ternyata ndk thailand namae lek ga salah koh samui island","['abreviasi', 'zeroisasi']"
aminn,amin,True,Aminn,['elongasi']
aamiin,amin,True,Aamiin,['elongasi']
amiiinn,amin,True,Amiiinn,['elongasi']
dgn,dengan,True,"Di antara 77 korban AIRASIA yg warga Surabaya, 6 orang ( 5 dewasa, 1 anak SD, dalam 1 keluarga) adalah tetangga saya, Semoga arwah mereka semua diterima dgn baik di sisi Tuhan,, Amin",['abreviasi']
aminnnn2,amin-amin,False,Aminnnn2 @fendi_dbonno9414,"['elongasi', 'reduplikasi']"
amiin,amin,True,Amiin ya robbal alamin,['elongasi']
aamiin,amin,True,Aamiin..,['elongasi']
amiiiin,amin,True,Amiiiin ya robal alamin.,['elongasi']
amiin,amin,True,Amiin,['elongasi']
aminnn,amin,True,Aminnn,['elongasi']
amiend,amien,True,Amiend ya Allah,['anaptiksis']
yaaa,ya,True,@isafitriani @nisaayuasmara @unie_emilia @nabilanatasya9 @sasmirayanti mau kalung murah & cantik? cek ig kita yaaa??,['elongasi']
ameen,amin,True,Ameen,"['modifikasi vokal', 'elongasi']"
aminnnn,amin,True,Aminnnn,['elongasi']
amiiinnn,amin,True,Amiiinnn,['elongasi']
kek,kayak,True,yang kek perut aku ya??? @mfahmifachrudin,"['abreviasi', 'modifikasi vokal']"
ngomong,mengomong,True,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?,['afiksasi']
inget,ingat,True,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?,['modifikasi vokal']
mamer,memamerkan,True,Lo mamer aurat lebih dosa keles,['afiksasi']
keles,kali,True,Lo mamer aurat lebih dosa keles,['coinage']
jelase,jelas,True,Iki lebih jelase @oktaviajr,['anaptiksis']
liat,lihat,True,Liat loh uwakk @graciags,['zeroisasi']
uwakk,uwak,True,Liat loh uwakk @graciags,['elongasi']
ntar,entar,True,@virakysh ntar kita bs gini,['zeroisasi']
bs,bisa,True,@virakysh ntar kita bs gini,['abreviasi']
gini,begini,True,@virakysh ntar kita bs gini,['abreviasi']
jgn,jangan,True,@xocacola adek jgn sampe masuk angin yaa ?,['abreviasi']
sampe,sampai,True,@xocacola adek jgn sampe masuk angin yaa ?,['monoftongisasi']
aq,aku,True,@xocacola adek jgn sampe masuk angin yaa ?,"['abreviasi', 'homofon']"
salfok,salah fokus,False,Salfok:v @fad.fdh @auliyya_naural,['akronim']
njir,anjir,True,Njir pink haha @standy.gigih,['zeroisasi']
piiink,pink,False,Piiink,['elongasi']
astgfrullah,astagfirullah,True,astgfrullah?,['abreviasi']
ko,kok,True,Aneh ko cd di perlihatkan,['zeroisasi']
cd,celana dalam,False,Aneh ko cd di perlihatkan,['akronim']
gbs,enggak bisa,False,Gbs bhs inggris ?,"['akronim', 'abreviasi']"
bhs,bahasa,True,Gbs bhs inggris ?,['abreviasi']
yaaaaaa,ya,True,Cantiknya Yaaaaaa,['elongasi']
gak,enggak,True,Gak maksud,['zeroisasi']
bangshad,bangsat,True,Bangshad @salisaokta,"['anaptiksis', 'subtitusi', 'homofon']"
yaa,ya,True,Selow lagi proses yaa? @geareani08,['elongasi']
stagahhhh,astaga,True,Kakinya stagahhhh,"['anaptiksis', 'elongasi', 'zeroisasi']"
kpn,kapan,True,"Dinda otw,kon kpn @sakinaabsyn12",['abreviasi']
iooo,lo,True,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,"['salah ketik', 'elongasi']"
dy,dia,True,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,['homofon']
d,ada,True,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,['abreviasi']
mslh,masalah,True,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,['abreviasi']
qt,kita,True,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,"['abreviasi', 'homofon']"
jdi,jadi,True,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,['abreviasi']
plampiasannn,pelampiasan,True,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka,"['elongasi', 'zeroisasi']"
masalahh,masalah,True,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",['elongasi']
tohh,toh,True,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",['elongasi']
inghinn,ingin,True,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj","['elongasi', 'anaptiksis']"
dhi,di,True,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj",['anaptiksis']
mengherthii,mengerti,True,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj","['anaptiksis', 'elongasi']"
yanckh,yang,True,Febhi yanckh chelalyyu therchakitty @juvinkainka,['anaptiksis']
chelalyyu,selalu,True,Febhi yanckh chelalyyu therchakitty @juvinkainka,"['anaptiksis', 'subtitusi']"
therchakitty,tersakiti,True,Febhi yanckh chelalyyu therchakitty @juvinkainka,"['anaptiksis', 'subtitusi', 'homofon']"
mauuuuu,mau,True,Ini yang gua mauuuuu ?? @raquellyndaf @nisaaxs,['elongasi']
kaliii,kali,True,Mau gtu juga kaliii @damanikyoga,['elongasi']
bangat,banget,True,Bangat ? @nadyaronhaziza,['modifikasi vokal']
bkin,bikin,True,Kak bkin video mail time bareng kak cassy dongg,['abreviasi']
dongg,dong,True,Kak bkin video mail time bareng kak cassy dongg,['elongasi']
yokkk,yuk,True,Yokkk buat @salsa_nafita @ersakusumara,"['elongasi', 'modifikasi vokal']"
gini,begini,True,Gini yu ma wkk @nurrachmaniahm,['abreviasi']
yu,yuk,True,Gini yu ma wkk @nurrachmaniahm,['zeroisasi']
sweger,segar,True,Sweger @irfaul.izzi,"['anaptiksis', 'modifikasi vokal']"
kereeen,keren,True,@hokyintan kereeen,['elongasi']
gantengg,ganteng,True,"@sabithanurul24 @nadia_evelyn09 gantengg banget,pengen!",['elongasi']
bingiit,banget,True,cocok.bingiit deh sama baby,"['modifikasi vokal', 'elongasi']"
gak,enggak,True,gak mau kebukaaa @intansetyawatii,['zeroisasi']
kebukaaa,terbuka,True,gak mau kebukaaa @intansetyawatii,"['afiksasi', 'elongasi']"
tpi,tapi,True,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua...",['abreviasi']
keliatan,kelihatan,True,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua...",['zeroisasi']
yakk,ya,True,Ini Ariana apa cincha loowrrr ????? Miripp banget yakk ??,"['anaptiksis', 'elongasi']"
kayakk,kayak,True,Kayakk ariana asliii,['elongasi']
asliii,asli,True,Kayakk ariana asliii,['elongasi']
kyk,kayak,True,Kyk ariana grande..cntiknya,['abreviasi']
cntiknya,cantiknya,False,Kyk ariana grande..cntiknya,['abreviasi']
bat,banget,True,Mirip bat @arianagrande,['abreviasi']
ga,enggak,True,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta","['abreviasi', 'zeroisasi']"
ngeliatnya,melihatnya,False,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",['afiksasi']
sll,selalu,True,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta",['abreviasi']
bet,banget,True,Ariana grande bet njerr @rmutiaram,['abreviasi']
njerr,anjir,True,Ariana grande bet njerr @rmutiaram,"['zeroisasi', 'modifikasi vokal']"
bingiiittttzzzz,banget,True,Arianaaa bingiiittttzzzz......,"['elongasi', 'modifikasi vokal', 'anaptiksis']"
bgt,banget,True,Mirip @arianagrande bgt!!!! ??,['abreviasi']
k,kak,True,K Cinta mirip ariana grande klo lg kaya gini..,['abreviasi']
klo,kalo,True,K Cinta mirip ariana grande klo lg kaya gini..,['zeroisasi']
lg,lagi,True,K Cinta mirip ariana grande klo lg kaya gini..,['abreviasi']
dooong,dong,True,Selfie bareng @arianagrande dooong,['elongasi']
masi,masih,True,Masi cantikan @claurakiehl  daripada ari.. ari is toooooo cute i think...,['zeroisasi']
gni,begini,True,Sis @ridhanisabrina wisudamu kaya gni aja simple,['abreviasi']
kek,kayak,True,Jilbabnya kek gini aja @andinadarsono,"['abreviasi', 'modifikasi vokal']"
gini,begini,True,Jilbabnya kek gini aja @andinadarsono,['abreviasi']
aja,saja,True,Jilbabnya kek gini aja @andinadarsono,['zeroisasi']
udah,sudah,True,Aku udah ngescreenshot ini lama bgt padahal wkwk @ayichanja,['zeroisasi']
hdk,hendak,True,Hdk yg simple kyne z @fvtrisna,['abreviasi']
yg,yang,True,Hdk yg simple kyne z @fvtrisna,['abreviasi']
jugaa,juga,True,Itu simple banget kebayane jugaa wkwk @ridhanisabrina,['elongasi']
mksud,maksud,True,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,['abreviasi']
aj,saja,True,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna,['abreviasi']
tetep,tetap,True,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",['modifikasi vokal']
tp,tapi,True,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",['abreviasi']
mbakx,mbaknya,False,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",['word-value letter']
syantik,cantik,True,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa","['subtitusi', 'anaptiksis']"
syantik,cantik,True,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa","['subtitusi', 'anaptiksis']"
kite,kita,True,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa",['modifikasi vokal']
pa,apa,True,Pa kabar bu?? ??? @fvtrisna,['zeroisasi']
mksd,maksud,True,"Apa mksd mengirimi foto ini, kyne kah kena model seragam kami @ana_rrr29 @rocky_lin",['abreviasi']
bejilbbnya,berjilbabnya,False,Kd hahaaa... bagus sederhana bejilbbnya kytu aja te @vithapriani @rocky_lin,['abreviasi']
masio,masih,True,Lek selebgram kok mesti apik apik ae yo lek masio simple jilbab e @shovamardia,['salah ketik']
yahhh,ya,True,Iya yahhh @anifatasha,"['anaptiksis', 'elongasi']"
makasih,terima kasih,True,Beb... aku mau make up se soft ini aja ya @syaekaokt makasih banyak beb,['akronim']
leh,boleh,True,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,['abreviasi']
ugaaa,juga,True,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?,"['abreviasi', 'elongasi']"
yah,ya,True,@vaaaasola8 yah mending putih tulang + maroon,['anaptiksis']
jerewi,jerawat,True,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,['coinage']
ilang,hilang,True,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha,['zeroisasi']
jilbabnyaah,jilbabnya,False,Ntih ini yg opi bilang model jilbabnyaah tadi @rabiahidayantiarnan @megaiskanti @mutiaapriyeni @rozaliafransisca,"['anaptiksis', 'elongasi']"
kek,kayak,True,"Ya piiik, kek gini aja dah cantik,. @novitaresti @rozaliafransisca @mutiaapriyeni","['abreviasi', 'modifikasi vokal']"
yuuuk,yuk,True,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,['elongasi']
warnaaa,warna,True,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??,['elongasi']
